date,value
2022-11-17,157.25
2022-11-18,108.36
2022-11-19,329.73
2022-11-20,276.22
2022-11-21,176.06
2022-11-22,107.93
2022-11-23,10.93
2022-11-24,38.85
2022-11-25,121.74
2022-11-26,54.07
2022-11-27,134.12
2022-11-28,235.67
2022-11-29,68.62
2022-11-30,45.63
2022-12-01,8.04
2022-12-02,126.41
2022-12-03,120.94
2022-12-04,100.34
2022-12-05,66.09
2022-12-06,117.01
2022-12-07,373.12
2022-12-08,96.79
2022-12-09,263.96
2022-12-10,400.03
2022-12-11,365.46
2022-12-12,258.19
2022-12-13,47.95
2022-12-15,42.45
2022-12-16,55.34
2022-12-17,278.14
2022-12-18,312.04
2022-12-19,227.6
2022-12-20,151.27
2022-12-21,43.85
2022-12-22,25.36
2022-12-23,304.0
2022-12-24,266.44
2022-12-25,220.18
2022-12-26,143.27
2022-12-27,120.22
2022-12-28,926.98
2022-12-29,462.69
2022-12-30,273.46
2022-12-31,170.9
